transaction_day,hash,from_address,to_address,eth_value,rank
2026-05-22,0x6e74ba3025b4261c59350df2ee85e733b18916b3efffc8e4e2c0e482762001cb,0xece7c053131398a88850f52f215d4d60e38f46c5,0xfa679cda4f4cbd073d39a2181ebd9977ae98e9a2,35000.0,1
2026-05-22,0xa9096954e6efb2cf22951f874ef12c40f7de1837c619d48efe0c251bd509a546,0x28c6c06298d514db089934071355e5743bf21d60,0x9696f59e4d72e237be84ffd425dcad154bf96976,25754.50341807,2
2026-05-22,0x2724f393791e420294a770d17cc3377a0347b1282c02d87e8afb4552c95aa2d4,0xf30ba13e4b04ce5dc4d254ae5fa95477800f0eb0,0x59ee854c52c0de86188aa16ecbdb2e54f28e3fa5,24999.899999999998,3
2026-05-22,0xe8c5900aa79aa982589e1182db7169936167f75a56bc7e967815c1fca0cb997c,0x77134cbc06cb00b66f4c7e623d5fdbf6777635ec,0xed0c6079229e2d407672a117c22b62064f4a4312,20000.0,4
2026-05-22,0xa2b2918bd9ff71b75d3c95b4a762bdd4cef100b68da025061abd709cd9fcc1ba,0x28c6c06298d514db089934071355e5743bf21d60,0x56eddb7aa87536c09ccc2793473599fd21a8b17f,18834.67451851,5
2026-05-21,0xd34645e19bfda5353a5262d98c1b1cec0295fa2b7a00e463f68a52477eece55d,0xed0c6079229e2d407672a117c22b62064f4a4312,0xbd7d6a9ad7865463de44b05f04559f65e3b11704,24999.999999999996,1
2026-05-21,0x9c13ec83ac25107466781d468a09f61d2fbf3ab1d46e0a5e9c618de2de9af225,0x28c6c06298d514db089934071355e5743bf21d60,0x9696f59e4d72e237be84ffd425dcad154bf96976,16595.79351049,2
2026-05-21,0x0730d5478aa736eafc8c1b46b885bccaadb2bf4640a5a20f51c37b24d9209a94,0xe69f81b825d7dc31ee9becef4dbeab5cf30e3abb,0x28c6c06298d514db089934071355e5743bf21d60,15000.0,3
2026-05-21,0x4d4c770cee4e0f495bc823edb21cb6b5db29582520a3f5e416fb179f21103d26,0x28c6c06298d514db089934071355e5743bf21d60,0x4976a4a02f38326660d17bf34b431dc6e2eb2327,14301.54093223,4
2026-05-21,0xf6294230d198f5b66282c0f50c03aabf4dc44267acca4fc3cec54bc066918bdb,0x28c6c06298d514db089934071355e5743bf21d60,0x56eddb7aa87536c09ccc2793473599fd21a8b17f,13917.22839997,5
2026-05-20,0xe48b38c3c5bf9a89d3fbc4756825fb4abaf9f0b450a87b913e5eb2dd7c30f9a0,0xc8c557506a5240dcec094e614c665ff9ca815b95,0xcd531ae9efcce479654c4926dec5f6209531ca7b,28081.3940746602,1
2026-05-20,0x1e98bf81e5ee76c2d2e47c2149436ca6056ff016abb4c0690be1549a9dc1351b,0x28c6c06298d514db089934071355e5743bf21d60,0x4976a4a02f38326660d17bf34b431dc6e2eb2327,19204.733111179998,2
2026-05-20,0x706414b6de2f4cef4c1471b4d402a668606a2d8bfccfd6c3853c88cc8bb26664,0xcd531ae9efcce479654c4926dec5f6209531ca7b,0x60ee65b8f7f1b0e9dbec7bf7d3d0c43abba020e7,18118.0,3
2026-05-20,0xaec3134d2062ac4362def3fd57f00cf886d13e274d5b7a1fd82b7f492e29e2c8,0x60ee65b8f7f1b0e9dbec7bf7d3d0c43abba020e7,0xa9d1e08c7793af67e9d92fe308d5697fb81d3e43,18117.9999767,4
2026-05-20,0x6f64db096114ae3885fc4443bf2d7b2c3ff794df1607b70c23b2e1e4e1a1f639,0x3606f0f14828cbf4962a284a4bff93bc94b63665,0xcd531ae9efcce479654c4926dec5f6209531ca7b,18062.24523205838,5
2026-05-19,0x4b4ae910b679b7c8e4beca1543abf1d0076c5c635eba8737e079c3592bc677dd,0xd3a22590f8243f8e83ac230d1842c9af0404c4a1,0x3a3c006053a9b40286b9951a11be4c5808c11dc8,28345.0,1
2026-05-19,0x1331c8e43e6ecd34c35956e5e353fae7033f3b5cf72c89b63fba6a1c81a90891,0x3a3c006053a9b40286b9951a11be4c5808c11dc8,0xcde5d48fca07f9c52300d2e65632dd71ed169b90,28344.7899884,2
2026-05-19,0x9c79a5ffaad2067ce9d44af9c2791cb567b2adbeb90f8f8233d894a3c912273c,0xcde5d48fca07f9c52300d2e65632dd71ed169b90,0x28c6c06298d514db089934071355e5743bf21d60,28344.78998195129,3
2026-05-19,0x78900fcfb9497c0bf8829e9fb7ef4546741697b1f713b7734f50873079aa0e38,0x3606f0f14828cbf4962a284a4bff93bc94b63665,0xceb69f6342ece283b2f5c9088ff249b5d0ae66ea,20249.808101436258,4
2026-05-19,0x56745e0626cbbfdcc1146ff9d7a0c9daa15f5dcb3fa4b30c0ec0a58c368822f4,0xceb69f6342ece283b2f5c9088ff249b5d0ae66ea,0xda56319e71d38d14cb1b4126401a21867b946a0f,20249.80792557,5
2026-05-18,0xbbc36b20fefe250bdb498166bc5a4957d297a3dfd6315facee386b789ae965f1,0x83a1a5842563efc4cd6203457b71fa61ea504395,0xa1abfa21f80ecf401bd41365adbb6fef6fefdf09,25656.017302013533,1
2026-05-18,0xffc86d78f5fef63e33e9b20cec9ad0070a6ab44a68cbbd54bbd173f0b87b5cf0,0x76647c5a02f8383bf39b172cf317a4d0547d7199,0x83a1a5842563efc4cd6203457b71fa61ea504395,25655.9999946,2
2026-05-18,0x87ab170f3d12d7c39260c061a840973def5329a7f888b4ac6f5bfde85332292e,0x3a3c006053a9b40286b9951a11be4c5808c11dc8,0xd3a22590f8243f8e83ac230d1842c9af0404c4a1,23133.351,3
2026-05-18,0xa0026ec68e71f48a9241f6dffb8c84cdb71fdac7208e69e421a052a9b528848d,0xed0c6079229e2d407672a117c22b62064f4a4312,0xbd7d6a9ad7865463de44b05f04559f65e3b11704,20000.0,4
2026-05-18,0xc4c90529e0767a2705c62c5fd2b59977af0e4fbc70a1b33f5f7b0a800bf575d3,0x28c6c06298d514db089934071355e5743bf21d60,0x21a31ee1afc51d94c2efccaa2092ad1028285549,19105.62385893,5
2026-05-17,0xe76d26fd9865b97ebc50d65b451323da52e833a9f10c4697133286b2e95ae04e,0x28c6c06298d514db089934071355e5743bf21d60,0x4976a4a02f38326660d17bf34b431dc6e2eb2327,16804.48055385,1
2026-05-17,0x76f94fb59a43a46d18e99af69688c6b639e5097ea0f6d1771670eaada14ee400,0xce613e00bbc2b6fa5a5aa35e928a7ec584f527d9,0xbd9f00b37957ada869f802d1d6a0c0c4c4ea54ed,11999.999994599999,2
2026-05-17,0x9fbd9372f3002171c9b20bb47de7caff3214dfca8148d01b1e4f0bec4f1b81ce,0xbd9f00b37957ada869f802d1d6a0c0c4c4ea54ed,0x28c6c06298d514db089934071355e5743bf21d60,11999.99989743223,3
