address,total_eth_volume,tier
0x1d7e1c463f7b45979072ce639bae819f65d086a7,70960.6,Whale
0xa9c61fe59b5702b1d382fd1d5e495887ff34c21d,69656.94,Whale
0xd13caa89801de4d9bb6d219a235e672c836da470,68159.51,Whale
0x841ed663f2636863d40be4ee76243377dff13a34,64687.09,Whale
0x24343b2d69cbc6bc4e5da0521fd13127a8085326,64390.0,Whale
0x96bc6bb2eb48d7c34fdda619a153bd6ea9a1603a,62373.49,Whale
0x94335f3f93e90e4f49c61ef32dfdbb037aba5873,60368.0,Whale
0xccc5eeebe15291620be733997af60735618548d7,60357.0,Whale
0xd2bad6d93273f5eb2ba8bc01197170218c5ec7b7,60230.12,Whale
0x82330f93c595677899ec84a679002cd8c971660d,60230.1,Whale
0x32e11a20337ebc79abd0eeab2d91bafbd9591149,60000.0,Whale
0x240543929693333da0946cbf2597c099e4daa7cf,59739.04,Whale
0x98adef6f2ac8572ec48965509d69a8dd5e8bba9d,58164.73,Whale
0x95002781d7a9546632e2ebe9b865622c67420dfb,57970.58,Whale
0x84b38bc60f3bd82640ecefa320dab2be62e2da15,57930.1,Whale
0xf89d7b9c864f589bbf53a82105107622b35eaa40,57111.81,Whale
0x1e4e7ef632f2075f43a99a43799d380be1558c7d,55183.07,Whale
0x7dafba1d69f6c01ae7567ffd7b046ca03b706f83,53786.04,Whale
0xf51710015536957a01f32558402902a2d9c35d82,52942.89,Whale
0x28ac5fe7f2cec0c6d3fb6c9085703f0071377201,52505.1,Whale
0x3d4da266d946a58b3661a1f56b7aeb5afbff15dd,52500.84,Whale
0x17e5545b11b468072283cee1f066a059fb0dbf24,52328.0,Whale
0x991a7ff3cb20d5b5d6d9be5efec4e4c51cddad7a,52170.13,Whale
0x79b4d454ad08acc85f41a4fffa0d1c8bd7d44b25,51906.4,Whale
0x974caa59e49682cda0ad2bbe82983419a2ecc400,51904.92,Whale
0xd3a22590f8243f8e83ac230d1842c9af0404c4a1,50970.0,Whale
0xf375c5d69d153319594ae1c8b5123c11c4fd9f45,50783.37,Whale
0xed9b63d1d4efa9ae415854486400c9354227bcdd,50146.17,Whale
