provider_id,provider_name,drg_definition,average_covered_charges,national_avg,national_stddev,z_score
390290,HAHNEMANN UNIVERSITY HOSPITAL,074 - CRANIAL & PERIPHERAL NERVE DISORDERS W/O MCC,160520.0,29331.366935483882,16223.245165823,8.0864606139890611
310025,CAREPOINT HEALTH - BAYONNE MEDICAL CENTER,"392 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC",118876.0,22682.375865840324,11992.286220853579,8.0212915504707549
310016,CAREPOINT HEALTH-CHRIST HOSPITAL,192 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,117417.0,20963.843794242566,12081.875737359685,7.9832931824902085
390290,HAHNEMANN UNIVERSITY HOSPITAL,"441 - DISORDERS OF LIVER EXCEPT MALIG,CIRR,ALC HEPA W MCC",332715.0,57463.703900709217,34479.833769621488,7.982964707382127
310016,CAREPOINT HEALTH-CHRIST HOSPITAL,"391 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W MCC",202288.0,37958.469110658567,20641.27135699035,7.9612116931784715
310025,CAREPOINT HEALTH - BAYONNE MEDICAL CENTER,300 - PERIPHERAL VASCULAR DISORDERS W CC,156450.0,29037.446555819472,16151.852736482966,7.8884172313178453
50367,NORTHBAY MEDICAL CENTER,372 - MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W CC,187756.0,32560.410233393191,19735.902426834928,7.863617604614177
310025,CAREPOINT HEALTH - BAYONNE MEDICAL CENTER,872 - SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W/O MCC,166529.0,30141.054482225682,17379.425748577989,7.8476669765071954
390290,HAHNEMANN UNIVERSITY HOSPITAL,689 - KIDNEY & URINARY TRACT INFECTIONS W MCC,176788.0,31252.134320735415,18605.867737450517,7.8220412900348153
310016,CAREPOINT HEALTH-CHRIST HOSPITAL,683 - RENAL FAILURE W CC,144559.0,26769.665987780038,15086.656177247392,7.80751762540074
50441,STANFORD HOSPITAL,947 - SIGNS & SYMPTOMS W MCC,199833.0,35395.4965034965,21171.819074030846,7.7668103492439631
310025,CAREPOINT HEALTH - BAYONNE MEDICAL CENTER,192 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,114775.0,20963.843794242566,12081.875737359685,7.7646185282036733
310025,CAREPOINT HEALTH - BAYONNE MEDICAL CENTER,"281 - ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE W CC",179946.0,34214.346582984734,18866.018634937504,7.7245579068356536
50441,STANFORD HOSPITAL,469 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W MCC,427567.0,88778.650759219177,43881.116206375395,7.7205955210309574
